ITEM, SPEED0, SPEED1, SPEED2, SPEED3
0,0,0,0,0
1,1,1000,1000,8000
2,1,1000,1001,7998
3,1,1000,1002,7996
4,1,1000,1003,7994
5,1,1000,1004,7992
6,1,1000,1005,7990
7,1,1000,1006,7988
8,1,1000,1007,7986
9,1,1000,1008,7984
10,1,1000,1009,7982
11,1,1000,1010,7980
12,1,1000,1011,7978
13,1,1000,1012,7976
14,1,1000,1013,7974
15,1,1000,1014,7972
16,1,1000,1015,7970
17,1,1000,1016,7968
18,1,1000,1017,7966
19,1,1000,1018,7964
20,1,1000,1019,7962
21,1,1000,1020,7960
22,1,1000,1021,7958
23,1,1000,1022,7956
24,1,1000,1023,7954
25,1,1000,1024,7952
26,1,1000,1025,7950
27,1,1000,1026,7948
28,1,1000,1027,7946
29,1,1000,1028,7944
30,1,1000,1029,7942
31,1,1000,1030,7940
32,1,1000,1031,7938
33,1,1000,1032,7936
34,1,1000,1033,7934
35,1,1000,1034,7932
36,1,1000,1035,7930
37,1,1000,1036,7928
38,1,1000,1037,7926
39,1,1000,1038,7924
40,1,1000,1039,7922
41,1,1000,1040,7920
42,1,1000,1041,7918
43,1,1000,1042,7916
44,1,1000,1043,7914
45,1,1000,1044,7912
46,1,1000,1045,7910
47,1,1000,1046,7908
48,1,1000,1047,7906
49,1,1000,1048,7904
50,1,1000,1049,7902
51,1,1000,1050,7900
52,1,1000,1051,7898
53,1,1000,1052,7896
54,1,1000,1053,7894
55,1,1000,1054,7892
56,1,1000,1055,7890
57,1,1000,1056,7888
58,1,1000,1057,7886
59,1,1000,1058,7884
60,1,1000,1059,7882
61,1,1000,1060,7880
62,1,1000,1061,7878
63,1,1000,1062,7876
64,1,1000,1063,7874
65,1,1000,1064,7872
66,1,1000,1065,7870
67,1,1000,1066,7868
68,1,1000,1067,7866
69,1,1000,1068,7864
70,1,1000,1069,7862
71,1,1000,1070,7860
72,1,1000,1071,7858
73,1,1000,1072,7856
74,1,1000,1073,7854
75,1,1000,1074,7852
76,1,1000,1075,7850
77,1,1000,1076,7848
78,1,1000,1077,7846
79,1,1000,1078,7844
80,1,1000,1079,7842
81,1,1000,1080,7840
82,1,1000,1081,7838
83,1,1000,1082,7836
84,1,1000,1083,7834
85,1,1000,1084,7832
86,1,1000,1085,7830
87,1,1000,1086,7828
88,1,1000,1087,7826
89,1,1000,1088,7824
90,1,1000,1089,7822
91,1,1000,1090,7820
92,1,1000,1091,7818
93,1,1000,1092,7816
94,1,1000,1093,7814
95,1,1000,1094,7812
96,1,1000,1095,7810
97,1,1000,1096,7808
98,1,1000,1097,7806
99,1,1000,1098,7804
100,1,1000,1099,7802
101,1,1000,1100,7800
102,1,1000,1101,7798
103,1,1000,1102,7796
104,1,1000,1103,7794
105,1,1000,1104,7792
106,1,1000,1105,7790
107,1,1000,1106,7788
108,1,1000,1107,7786
109,1,1000,1108,7784
110,1,1000,1109,7782
111,1,1000,1110,7780
112,1,1000,1111,7778
113,1,1000,1112,7776
114,1,1000,1113,7774
115,1,1000,1114,7772
116,1,1000,1115,7770
117,1,1000,1116,7768
118,1,1000,1117,7766
119,1,1000,1118,7764
120,1,1000,1119,7762
121,1,1000,1120,7760
122,1,1000,1121,7758
123,1,1000,1122,7756
124,1,1000,1123,7754
125,1,1000,1124,7752
126,1,1000,1125,7750
127,1,1000,1126,7748
128,1,1000,1127,7746
129,1,1000,1128,7744
130,1,1000,1129,7742
131,1,1000,1130,7740
132,1,1000,1131,7738
133,1,1000,1132,7736
134,1,1000,1133,7734
135,1,1000,1134,7732
136,1,1000,1135,7730
137,1,1000,1136,7728
138,1,1000,1137,7726
